"Time","max(temperature)"
0,900
1,899.69
2,897.88
3,894.95
4,891.52
5,887.85
6,884.1
7,880.31
8,876.53
9,872.77
10,869.03
11,865.32
12,861.64
13,857.98
14,854.36
15,850.76
16,847.18
17,843.63
18,840.11
19,836.61
20,833.13
21,829.67
22,826.23
23,822.81
24,819.41
25,816.03
26,812.67
27,809.33
28,806
29,802.69
30,799.39
31,796.12
32,792.86
33,789.61
34,786.38
35,783.16
36,779.96
37,776.77
38,773.6
39,770.44
40,767.3
41,764.16
42,761.05
43,757.94
44,754.85
45,751.77
46,748.7
47,745.65
48,742.61
49,739.58
50,736.57
51,733.56
52,730.57
53,727.59
54,724.62
55,721.67
56,718.72
57,715.79
58,712.87
59,709.96
60,707.06
61,704.17
62,701.3
63,698.44
64,695.58
65,692.74
66,689.91
67,687.09
68,684.28
69,681.48
70,678.7
71,675.92
72,673.16
73,670.4
74,667.66
75,664.93
76,662.2
77,659.49
78,656.79
79,654.1
80,651.42
81,648.75
82,646.09
83,643.44
84,640.8
85,638.17
86,635.56
87,632.95
88,630.35
89,627.76
90,625.19
91,622.62
92,620.06
93,617.51
94,614.98
95,612.45
96,609.93
97,607.43
98,604.93
99,602.44
100,600.21
